;Licence +;Licence ++;Licence +++;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Airbnb;;;"Si l'utilisateur refuse d'activer les cookies, il ne peut pas ouvrir de session. Il devient donc impossible d'utiliser le site ce qui va au delà du simple ""fonctionnement dégradé"" du site";"Proposition : 
création d'une licence ++++ pour les sites comme airbnb qui ne prennent pas en compte l'activation de l'option ""ne pas suivre"" et qui empêchent l'utilisation du service principal proposé par le site (dans le cas d'airbnb : la location via ouverture d'une session) si l'utilisateur désactive la collecte des cookies : après essai de désactivation des cookies, le site ne fonctionne quasi plus et ne présente plus aucun intérêt. ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amazon;;Amazon considère que les utilisateurs navigant sur le site ave cles paramètres du navigateur permettant la collecte des cookies consentent tacitement à l’utilisation par Amazon de cookies. Système d’opt-out par renvoi aux réglages du navigateur. Les cookies servent notamment à l’identification, la fourniture d’une publicité ciblée, le suivi des préférences…;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mappy;;"Les cookies sont des petits fichiers de textes qui vont être utilisés pour reconnaître votre terminal lorsque vous vous connectez à un de nos services afin notamment :

d’établir des statistiques et comptages de fréquentation et d’utilisation des diverses rubriques et contenus de notre Site et de nos services nous permettant de réaliser des études pour en améliorer le contenu et d’assurer le suivi et l’assiette de la facturation de nos espaces publicitaires ;
de mémoriser les préférences d’affichage de votre terminal (langue utilisée, paramètres d’affichage de votre terminal) et d’en tenir compte lorsque de vos visites sur notre Site et nos services selon la charte graphique et les logiciels de visualisation ou de lecture que comporte votre terminal ;
de mémoriser les informations relatives, par exemple, à un formulaire que vous avez rempli ou à un service ou une information que vous avez choisis ;
de mettre en œuvre des mesures de sécurité, par exemple lorsqu’il vous est demandé de vous connecter à nouveau à un service après une certaine période de temps ;
de vous permettre d’accéder à des espaces réservés et personnels de notre Site ou de nos services, tels que votre compte personnel, sur la base de données personnelles que vous nous avez antérieurement confiées ; dans ce cas, vous pourrez accéder à des contenus personnalisés ou qui vous sont réservés ;
d’adapter les contenus publicitaires insérés dans nos services aux centres d’intérêts et, éventuellement, avec votre localisation, qui résultent des données de navigation de votre terminal parmi les rubriques de notre Site ou de nos services, sans que nous n’ayons de données personnelles permettant de vous identifier ou de vous contacter directement ;
d’adapter les contenus publicitaires insérés dans nos services aux données personnelles que vous nous avez confiées et qui sont associées à un cookie, ainsi qu’aux centres d’intérêts qui résultent des données de navigation de votre terminal parmi les rubriques de notre Site ou de nos services.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Allo Resto;;;"Allo Resto : « En poursuivant votre navigation sur notre site, vous acceptez l’utilisation de cookies afin de vous permettre de partager des contenus sur les réseaux sociaux et d'établir des statistiques de frequentation”

Cependant, impossible de refuser les cookie, il y a une acceptation tacite des cookies en visitant la page et en se connectant";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tom Tom;;"
Nos Sites web utilisent des Cookies pour permettre à TomTom de collecter des données sur les visiteurs des Sites web et les utilisateurs de notre service (que nous pouvons associer aux Renseignements personnels que nous avons collectés à votre égard) et pour personnaliser nos Sites web au profit de leurs visiteurs. Un « Cookie » est un petit fichier texte qui est placé sur Votre disque dur par un serveur web et qui est utilisé par nos Sites web pour identifier Votre ordinateur chaque fois que vous visitez nos Sites web. TomTom utilise les Cookies pour stocker Vos préférences et autres informations liées. TomTom n'utilise pas les Cookies pour rassembler d'autres renseignements de votre ordinateur. Les Cookies peuvent être supprimés en suivant les instructions du fichier d'aide du navigateur Internet. Si vous choisissez de désactiver les Cookies, certaines zones des Sites web risquent de ne plus fonctionner correctement. ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Microsoft;;"""Lorsque vous vous connectez à un site ou service avec votre compte Microsoft, nous stockons, dans un cookie crypté sur votre disque dur, votre identifiant unique et l'heure à laquelle vous vous êtes connecté. Ce cookie vous permet de parcourir les pages du site sans avoir à établir une nouvelle connexion à chaque page. Ces cookies sont supprimés de votre ordinateur lorsque vous vous déconnectez. Nous utilisons également les cookies afin de faciliter le processus de connexion. Par exemple, votre adresse e-mail peut être stockée dans un cookie qui reste sur votre ordinateur après la déconnexion. Ce cookie permet de renseigner votre adresse e-mail et vous n'aurez qu'à entrer votre mot de passe lors des connexions suivantes. Si vous utilisez un ordinateur public ou si vous préférez que ces informations ne soient pas conservées, sélectionnez la case d’option appropriée sur la page de connexion et ce cookie ne sera plus utilisé. """;"""Mais il convient de noter que si vous bloquez des cookies, vous risquez de ne pas pouvoir vous connecter ou d'utiliser d'autres fonctions interactives des sites et services Microsoft qui dépendent de ces cookies""";"Les cookies pourront être ""recréés en cas de besoin"" / Paragraphe concernant la publicité comportementale : Opt out possible mais même en ce cas, l'utilisateur recevra des publicités mais non comportementales / Précisions sur le signal DNT de blocage de cookies que ne supporte pas Microsoft";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBM;;;"""Comme les cookies vous permettent de mieux profiter de certaines fonctionnalités de nos sites Web ou de nos produits logiciels et offres SaaS, nous vous recommandons de les activer. Si vous bloquez ou désactivez nos cookies, ou si vous les rejetez de toute autre manière, vous ne pourrez pas, par exemple, ajouter des éléments à votre commande, procéder à son règlement ou utiliser les services d'un site Web qui exige l'ouverture d'une session.""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LastPass;;« Les visiteurs de LastPass qui ne souhaitent pas avoir des cookies placés sur leurs ordinateurs doivent paramétrer leur navigateur pour refuser les cookies avant d'utiliser les sites de LastPass »;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Samsung;;« Ce site utilise des cookies. En continuant à naviguer sur le site, vous acceptez d’utiliser nos cookies. » Renvoi aux réglages du navigateur pour supprimer les cookies. 4 types de cookies collectés (strictement nécessaires, de performance, fonctionnaires, publicitaires).;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Groupon;;« En utilisant notre site vous acceptez l’utilisation de nos cookies. » Renvoi aux réglages du navigateur pour supprimer les cookies. 4 types de cookies collectés (strictement nécessaires, de performance, fonctionnaires, publicitaires).;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rue du commerce;;;"""Si vous refusez l'enregistrement de cookies sur votre terminal, ou en 
cas de suppression de ceux qui y sont enregistrés, vous ne pourrez plus 
bénéficier d'un certain nombre de fonctionnalités qui sont néanmoins 
nécessaires pour naviguer dans certains espaces du Site, en particulier,
 le panier de Commande. Le cas échéant, la société Rue du Commerce 
décline toute responsabilité pour les conséquences liées au 
fonctionnement dégradé des services du Site résultant de l'impossibilité
 d'enregistrer ou de consulter les cookies nécessaires à leur 
fonctionnement et que vous auriez refusés ou supprimés.""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Booking;;;"Les paramètres de votre navigateur (par exemple, Internet Explorer, Safari, Firefox ou Chrome) vous permettent de choisir quels cookies vous acceptez ou refusez. Si vous choisissez de refuser certains cookies, vous ne pourrez pas utiliser certaines fonctionnalités de notre site. Nous ne prenons pas en compte les paramètres « Ne Pas Autoriser » du navigateur. Nous vous rappelons aussi que si vous refusez l’accès à un réseau de publicité en ligne, cela ne signifie pas que vous ne recevrez plus ou ne verrez plus de publicités en ligne, ni même que vous ne ferez plus l’objet d’une analyse marketing ; cela signifie simplement que le réseau publicitaire que vous avez refusé ne vous montrera plus de publicités basées sur vos préférences et votre comportement d’utilisateur.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
eBay;;;Les cookies peuvent être bloqués par l'utilisateur. cependant, eBay met en garde l'utilisateur contre ce blocage en ce qu'il ne pourra plus utiliser toutes les fonctionnalités du site. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Asos;;;Aucune mention de la possibilité d'accepter ou de refuser les cookies pour l'internaute. Ceux-ci sont principalement utilisés à des fins de fonctionnement du service et de l'exécution des prestations. On pourrait doc en conclure qu'Asos impose l'utilisation des cookies à ses utilisateurs. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TripAdvisor;;"Opt-out : ""Vous pouvez refuser l’installation d’un cookie de notre part en observant les procédures spécifiques à votre navigateur Internet.""";"Utilisation nécessaire des cookies sinon fonctionnalités réduites du site : ""Vous pouvez refuser l’installation d’un cookie de notre part en observant les procédures spécifiques à votre navigateur Internet. Cependant, si vous refusez ce cookie, vous constaterez peut-être que votre navigateur ne fonctionne pas correctement lorsque vous consultez non seulement notre Site, mais encore d’autres sites Internet. (...) L’Outil d'Acceptation des Cookies ne vous permet pas de désactiver les cookies essentiels. La raison est que ces cookies vous sont nécessaires pour accéder et utiliser le contenu et les fonctionnalités du site Internet.""              + Possible association avec les données personnelles : TripAdvisor peut conserver l'ensemble ou une partie des données personnelles dans un fichier ""cookie"". ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Uber;;"Opt-out : ""You can change your cookie settings to accept or not accept cookies in your browser settings.""";"Utilisation nécessaire des cookies sinon fonctionnalités réduites du site : ""Essential cookies: Uber uses cookies necessary to enable or enhance certain functionality of the Website, such as recalling your recent actions on the Website or remembering your Website settings. If you have cookies disabled in your browser, these cookies will be blocked. """;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VSCO;;When you visit the Service, we and our third party partners may send one or more cookies — a small text file containing a string of alphanumeric characters — to your computer that uniquely identifies your browser and lets VSCO help you log in faster and enhance your navigation through the site. A cookie may also convey information to us about how you use the Service (e.g., the pages you view, the links you click and other actions you take on the Service), and allow us or our business partners to track your usage of the Service over time. You can reset your web browser to refuse all cookies or to indicate when a cookie is being sent. However, some features of the Service may not function properly if the ability to accept cookies is disabled.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kayak;;"« Le navigateur peut donner la possibilité de contrôler les cookies. » 
 Par exemple : l’utilisateur peut refuser que son comportement en ligne soit suivi à des fins publicitaires ou refuser l’utilisation Google Analytics";« Certaines fonctionnalités de notre site requièrent l’utilisation de cookies pour fonctionner. Vous ne pouvez pas être en mesure d'utiliser ces fonctionnalités si vous bloquez les cookies. Si vous bloquez ou supprimez les cookies ou excluez la publicité comportementale en ligne, certaines pratiques de suivi décrites dans cette politique persisteront. »;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DeviantArt;;;"Like many Internet sites, we also use “cookies” to collect information. (…) We also use cookies to identify that you've logged in to the Services, to tell us how and when you interact with our Services (…).
 
 Although most browsers automatically accept cookies, you can change your browser options to stop automatically accepting cookies or to prompt you before accepting cookies. Please note, however, that if you don't accept cookies, you may not be able to access all portions or features of the Services.";Propose un mécanisme opt-out (licence ++) en permettant aux utilisateurs de refuser les cookies, mais indique que le cas échéant, ils ne pourront pas accéder aux services proposés par DeviantArt. Il s’agit en réalité d’une licence +++ (idem que Skype).;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Go Voyages ;;"GO Voyages peut également collecter des informations de manière automatique par l'utilisation de cookies qui permettent de suivre votre navigation sur le site govoyages.com. Vous avez évidemment la possibilité de désactiver ou d'empêcher le placement de ces cookies.

Nous autorisons également des tiers  (partenaires commerciaux ou réseaux de publicité) à collecter des informations sur vos activités en ligne par l’intermédiaire de cookies et d’autres technologies.

Les informations rassemblées par ces tiers sont utilisées pour faire des prédictions sur vos caractéristiques, vos intérêts ou vos préférences et pour diffuser des publicités ciblées en fonction de vos centres d’intérêts apparents sur nos sites et à travers tout l’Internet.

Veuillez noter que nous n’avons pas d’accès ni de contrôle sur ces cookies ou autres technologies que ces tiers peuvent utiliser pour collecter des informations sur vos intérêts. Les pratiques de ces tiers concernant ces informations ne sont pas couvertes par la présente Charte de Confidentialité.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Apple;;;"Possibilité de opt-out en désactivant les cookies du navigateur web Safari mais dans ce cas ""certaines fonctionnalités du site web Apple ne seront plus disponibles.""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heetch;Nous n’utilisons pas de cookies publicitaires. Toutefois, si nous devions en utiliser à l’avenir, nous vous en informerions au préalable et vous auriez la possibilité le cas échéant de désactiver ces cookies.;Nous utilisons des cookies techniques. Ceux-ci sont stockés dans votre navigateur pour une période de 6 mois. Vous pouvez vous opposer à l’installation de ces cookies, mais un tel refus pourrait empêcher le bon fonctionnement de l’Application;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Boursorama;;"Si les membres reconnaissent tacitement l'installation de cookies sur leur terminal,
ils disposent en retour de la capacité de les gérer. Vous pouvez à tout moment choisir
de désactiver ces cookies. Vous pouvez les accepter ou les refuser au cas par cas ou bien les
refuser systématiquement une fois pour toutes. Nous vous rappelons que                                                                                                                                                         le paramétrage est susceptible de modifier vos conditions d'accès à nos
services nécessitant l'utilisation de cookies.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Paypal;;Lorsque vous visitez ou interagissez avec nos sites, services, applications, outils, publicités et messageries (email, par exemple), nous ou nos prestataires de services autorisés pouvons utiliser des cookies, balises Web et autres technologies similaires pour stocker des informations qui nous permettront de vous fournir une meilleure expérience, plus rapide et plus sécurisée. La présente page est conçue pour vous aider à mieux comprendre lesdites technologies et l'utilisation que nous en faisons sur nos sites et dans le cadre de nos services, applications et outils. Nous proposons certains services, caractéristiques de site, applications et outils disponibles uniquement par le biais desdites technologies. Vous êtes toujours libre de bloquer, supprimer ou désactiver lesdites technologies si votre navigateur ou appareil le permet. Cependant, si vous refusez les cookies ou autres technologies similaires, il se peut que vous ne puissiez pas utiliser certains services, caractéristiques de site, applications ou outils. Il se peut que vous deviez également saisir votre mot de passe plus fréquemment lors d'une session.;Certains services nécessitent les cookies pour fonctionner correctement;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RAD;Aucune information à ce sujet.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pixels espion;Pas d’utilisation;Pour connaître le taux d’ouverture des courriels ou pour finalités légitimes explicitement déterminées;Implémentation sans transparence ni précision sur les finalités;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vente privée;;"Vente privée a longuement détaillé sa politique concernant les cookies utilisés par ce site. Il est notamment indiqué que ""Notre objectif est de vous présenter des offres les plus pertinentes possibles. A cette fin, la technologie des cookies permet de déterminer en temps réel quelle offre afficher à un Terminal, en fonction de sa navigation récente au sein du Site ou de nos Applications. 
Vous préférez sans doute voir s'afficher des offres de produits et de services qui correspondent à ce qui vous intéresse plutôt que des offres qui n'ont aucun intérêt pour vous"". Même si cela ne concerne pas directement un pixels espion, il est possible de rattacher l'usage des cookies à une telle catégorie au vu de la finalité d'utilisation des cookies. ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Airbnb;;;Utilisation de balises web (donc de pixels espion) sans explicitation de la finalité ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amazon;;Utilisation de “pixels invisibles” pour les mêmes finalités que les autres cookies qui sont explicitement définies dans la politique “Cookies et publicité sur internet” du site.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mappy;Pas d'information à ce sujet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Allo Resto;Aucune information;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tom Tom;Aucune information;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Microsoft;;"""Les pages Web de Microsoft peuvent contenir des images électroniques connues sous le nom de balises Web, parfois appelées images à un seul pixel, qui permettent la transmission des cookies à nos sites pour compter le nombre de visiteurs de ces pages et fournir des services co-brandés (publicité associant deux marques). Nous pouvons inclure des balises Web dans les courriels promotionnels ou les bulletins d'informations afin de déterminer les messages qui ont été consultés et ceux qui ont provoqué des réactions.



Microsoft peut également utiliser les balises Web provenant de tiers pour établir des statistiques globales sur l'efficacité des campagnes ou autres opérations promotionnelles de ses sites. Ces balises web peuvent permettre aux tiers de créer ou lire un cookie sur votre ordinateur. Ces entreprises peuvent recueillir des informations concernant vos activités en ligne sur des sites web ou des services en ligne, néanmoins nous interdisons aux tiers d'utiliser des balises Web sur nos sites pour collecter des informations personnelles ou y accéder. """;;"""En plus des cookies standards et des balises Web, les sites Web peuvent utiliser d'autres technologies pour stocker et lire les fichiers de données sur votre ordinateur. La création de certains fichiers locaux pourrait avoir comme objectif la conservation de vos préférences ou l’amélioration de la vitesse et des performances."" = Quid des ""cookies flash"", et de la technologie Silverlight : encore en Opt out (chaîne d'opt out en forme de poupées russes ce qui rend la tâche de blocage difficile)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBM;;"""Les pixels espions sont généralement utilisés avec des ""cookies"". Si vous ne voulez pas associer vos données anonymes à vos visites sur ces pages ou à l'utilisation de ces produits, vous pouvez paramétrer votre navigateur pour désactiver les cookies ou désactiver les cookies directement dans les produits en question. Si vous désactivez les cookies, les pixels espions ou les autres technologies utilisées détecteront tout de même vos visites sur ces pages, mais les informations qu'ils collecteront ne pourront pas être associées à d'autres données stockées dans des cookies."" ""Nous pouvons également inclure des pixels espions dans des e-mails commerciaux ou dans nos bulletins d'information, afin de déterminer si ces messages ont été ouverts et si vous avez cliqué sur les liens qu'ils contiennent.""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Samsung;;;;Pas d'informations en ce sens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Groupon;;«Nos messages électroniques contiennent des cookies qui vérifient si vous avez ouvert nos messages électroniques et si vous cliquez sur les liens qu’ils contiennent. Ces cookies [...] sont uniques à chaque message et ne sont pas stockés sur votre ordinateur ou appareil mobile ».;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rue du commerce;;;;Pas d'informations en ce sens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Booking;;"En plus des cookies, Booking.com utilise parfois des balises Web. Une balise Web est une petite image graphique de seulement 1 pixel qui est envoyée à votre ordinateur en tant que demande de page Web ou dans un e-mail au format HTML. Nous utilisons ces pixels directement ou par le biais de moteurs de recherche dans le cadre de nos publicités en ligne soit sur notre site, soit sur des sites tiers afin de savoir si le client qui voit une publicité en ligne effectue une réservation ; afin de suivre la conversion via des sites Web partenaires et afin d’analyser le comportement des utilisateurs en matière de trafic Web dans le but d’optimiser les services que nous vous proposons dans le domaine du voyage.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
eBay;;"Des ""repères web"" sont insérés dans les pages pour mesurer le trafic sur le site : 
""Les repères Web sont des images électroniques intégrées au code d'une 
page Web pouvant remplir les mêmes fonctions que les cookies. Les 
repères Web permettent de suivre les déplacements des utilisateurs d'une
 page à l'autre afin d'optimiser le trafic sur le site"".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Asos;;"Utilisation de pixels espions pour comprendre l'intéraction entre le visiteur et le site :                     ""Les cookies et le code intégré permettent d’obtenir des informations statistiques sur le nombre de visites sur chacune des pages du Site, sur la durée de visualisation de chaque page, sur les itinéraires choisis par les visiteurs, ainsi que des données sur les paramètres d’utilisation des visiteurs et toute autre information à caractère général. ASOS utilise et stocke ce type d’informations, ainsi que celles obtenues par les cookies utilisés sur le Site Internet, afin d’améliorer les services fournis à nos utilisateurs.""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TripAdvisor;;"Utilisation de cookies analytiques et fonctionnels pour comprendre la manière dont les utilisateurs utilisent le site, tester différentes conceptions et fonctionnalités, savoir de quelle manière les utilisateurs arrivent sur le site : ""Nous utilisons des cookies pour mieux comprendre la manière dont vous utilisez notre site Internet et de quelle manière nous pouvons améliorer l’expérience que vous en faites. Les cookies peuvent nous fournir des informations anonymes qui nous aident à comprendre quelles parties de notre site Internet intéressent nos visiteurs et, le cas échéant, s’ils reçoivent des messages d’erreur. Nous utilisons des cookies pour tester différentes caractéristiques de conception et fonctionnalités de nos sites et nous les utilisons aussi pour nous aider à remonter à la manière dont nos visiteurs arrivent sur nos sites.""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Uber;;"Utilisation de Google Analytics (cookies non essentiels) pour donner à Uber un aperçu de la manière dont les utilisateurs utilisent le site : ""Non-essential cookies: Uber uses Google Analytics' cookies. If you have cookies disabled in your browser, these cookies will be blocked. Google Analytics is a web analysis service that is offered by Google Inc. Google Analytics uses cookies to analyze the usage of the Website by Users to give Uber an insight in the way Users use the Website. You can find more information on Google Analytics here.""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VSCO;;;When you use the Service, we may employ clear gifs (also known as web beacons) which are used to anonymously track the online usage patterns of our Users anonymously. In addition, we may also use clear gifs in HTML-based emails sent to our Users to track which emails are opened and which links are clicked by recipients. The information is allows for more accurate reporting and improvement of the Service.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kayak;;;« Nous et nos partenaires publicitaires pouvons également utiliser des balises Web (images pixel GIF simples). Ces balises Web sont placées dans le code d'une page Web ou d'une newsletter. »;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DeviantArt;;;--;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Apple;;"""Les balises, pixel tags, permettent d'envoyer des messages électroniques dans un format que les clients peuvent lire et de savoir si le message a été ouvert."" Ces informations servent à ""réduire ou supprimer les messages adressés aux clients.""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Go Voyages ;pas d'information à ce sujet ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heetch;n/a;n/a;n/a;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Boursorama;n/a;n/a;n/a;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Paypal;;Lorsque vous visitez ou interagissez avec nos sites, services, applications, outils, publicités et messageries (email, par exemple), nous ou nos prestataires de services autorisés pouvons utiliser des cookies, balises Web et autres technologies similaires pour stocker des informations qui nous permettront de vous fournir une meilleure expérience, plus rapide et plus sécurisée. La présente page est conçue pour vous aider à mieux comprendre lesdites technologies et l'utilisation que nous en faisons sur nos sites et dans le cadre de nos services, applications et outils.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RAD;Pas d'information à ce sujet dans les CGU.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Délai d’anonymisation;Suppression dès la suppression du compte / pas de conservation de données anonymisées Conservation systématique si obligation légale;Anonymisation dès la suppression du compte;Anonymisation après la suppression du compte ou après un délai supérieur à 6 mois;Aucune anonymisation voire potentiellement aucune suppression;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Apple;;;Principe : conservation des données personnelles pour la durée nécessaire aux cinq finalités explicites décrites (cf finalité de la réutilisation des DP collectées)                 Exception: une période de conservation plus longue est imposée ou permise par la loi. Aucune mention explicite quant à la durée exacte de conservation qui incite à placer Apple en licence +++;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vente privée;Il n'est pas fait état d'un délai d'anonymisation ou de suppression des données personnelles dans la politique de confidentialité de Vente Privée. Il est dès lors possible d'imaginer que Vente privée se soumet aux obligations légales françaises. ;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Airbnb;;;;La politique de confidentialité n'est pas claire sur ce qu'il advient des données après la suppression des comptes. Les utilisateurs sont informés que les commentaires et avis qu'ils auraient pu poster avant la suppression de leur compte seront toujours accessibles de même que leur prénom. Proposition d'une licence ++++ pour ces cas de figure;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mappy;Il n'est pas fait état d'un délai d'anonymisation ou de suppression des données personnelles dans la politique de confidentialité de Mappy. Il est dès lors possible d'imaginer que Mappy se soumet aux obligations légales françaises. Toutefois étant donné qu'aucun compte n'est nécessaire pour l'utilisation de ce service, la question relative à l'anonymisation des données relatives au compte ne se pose pas. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Allo Resto;;;"La politique de confidentialité n'est pas claire sur ce qu'il advient des données après la suppression des comptes.
« Nous conserverons vos informations pendant une période raisonnable, ou aussi longtemps que la loi l'exige. »
nous trouvons cette mention dans la partie “conservation et sécurité des données” mais de mention en cas de désinscription.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tom Tom;;;"Nous supposons un délai légal  "" Nous conservons vos Renseignements personnels de comptes clos pour nous conformer à la loi, pour empêcher la fraude, pour collecter toute cotisation due, pour résoudre des litiges, des problèmes, et pour aider toute enquête, faire appliquer nos conditions générales, et prendre d'autres actions autorisées par la loi""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amazon;;;;La politique de confidentialité n’aborde pas le thème de la conservation. Il est précisé que si l’utilisateur modifie ses informations personnelles, Amazon peut garder une copie des données initiales.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Microsoft;;;"""Nous stockons les termes de recherche (et les identifiants du cookie associés à ces termes de recherche) séparément des informations de compte qui permettent d'identifier directement les utilisateurs (nom, adresse électronique, numéros de téléphones, etc.). Nous avons, de surcroît, intégré des dispositifs de protection des procédures et des technologies conçus pour empêcher la corrélation non autorisée entre ces données. Nous prenons des mesures supplémentaires pour protéger la confidentialité des informations de recherche stockées : l'intégralité de l'adresse IP est supprimée au bout de 6 mois, les cookies et les autres identificateurs intersession sont supprimés au bout de 18 mois.""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBM;"""Nous conserverons vos données d'inscription aussi longtemps que votre compte sera actif ou au besoin pour vous fournir des services. Si vous souhaitez que vos données d'inscription ne soient plus utilisées pour vous fournir des services, contactez-nous à NETSUPP@us.ibm.com. Nous allons conserver et utiliser vos données d'inscription, afin de respecter nos obligations légales, régler les différends et faire appliquer nos accords.""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Samsung;« Nous ne conserverons pas d’informations vous concernant plus longtemps que nécessaire au regard de l’objectif en vue duquel elles ont été recueillies, ni plus longtemps que nécessaires au respect du contrat ou de la loi ».;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Groupon;« Nous conserverons vos DP tant que votre compte est actif ou en fonction des besoins pour vous fournir nos services et garder une trace de vos transactions à des fins d’information financière. Nous conserverons également vos DP dans la mesure nécessaire pour satisfaire aux obligations légales, régler les litiges et obtenir l’exécution de nos contrats. »;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rue du commerce;"""Conformément à [la loi informatique et liberté], vous disposez d'un droit d'accès, de 
modification, de rectification et de suppression portant sur les données
 personnelles vous concernant, que vous pouvez exercer en écrivant à 
""Rue du Commerce, Service Client - 44/50 Avenue du Capitaine Glarner - 
93585 - Saint-Ouen Cedex"".""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Booking;Si vous ne souhaitez plus utiliser les services de Booking.com, vous pouvez nous demander de bloquer vos données personnelles. Vous pouvez également supprimer votre compte à tout moment en vous connectant sur Booking.com et en vous rendant dans « Paramètres » et en choisissant de supprimer votre compte. Vous pouvez aussi vous désabonner des newsletters de Booking.com en utilisant le lien « Se désabonner » dans chaque newsletter. Cependant, il se peut que nous devions conserver certaines informations pour des raisons légales ou administratives, telles que l’archivage ou la détection de fraude.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
eBay;;;;"La politique du site en matière d'anonymisation des données est inquiétante et très évaise et mérite selon moi une qualification ""++++"". En effet, le site internet évoque la suppression des données après la fermeture définitive du compte ""dès que possible"", ""en fonction du statut du compte"" de l'utilisateur et de la loi applicable. La conservation des données à des fins légales est cependant précisée. ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Asos;;;;Aucune mention du site quant à la possibilité d'une suppression du compte et une anonymisation des données. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
